run_id,exp_id,system_name,budget,sample_id,domain,error_type,gt,ocr_text,final_text,selected_for_upgrade,router_score,backfill_status,backfill_reason,breaker_status
20260416_run111700,M5,BestRouter-only,0.1,GeoP0199_L003,geology,not_upgraded,外侧易张裂,外侧易环裂,外侧易环裂,False,0.193086,not_upgraded,not_upgraded,not_triggered
20260416_run111700,M5,BestRouter-only,0.1,GeoP0199_L005,geology,not_upgraded,易形成平行褶皱(IB型),易形成平行皱(IB型),易形成平行皱(IB型),False,0.174515,not_upgraded,not_upgraded,not_triggered
20260416_run111700,M5,BestRouter-only,0.1,GeoP0199_L006,geology,not_upgraded,{浅部脆性断层,浅部 脆性 送层,浅部 脆性 送层,False,0.223403,not_upgraded,not_upgraded,not_triggered
20260416_run111700,M5,BestRouter-only,0.1,GeoP0199_L009,geology,not_upgraded,(弯流作用,弯流作用,弯流作用,False,0.004514,not_upgraded,not_upgraded,not_triggered
20260416_run111700,M5,BestRouter-only,0.1,GeoP0199_L010,geology,not_upgraded,易形成相似褶皱(Ⅱ型)和,易形成相似褶皱(正型)和,易形成相似褶皱(正型)和,False,0.083097,not_upgraded,not_upgraded,not_triggered
20260416_run111700,M5,BestRouter-only,0.1,GeoP0199_L011,geology,not_upgraded,{深部韧性剪切带,{深部 韧性剪切带,{深部 韧性剪切带,False,0.157201,not_upgraded,not_upgraded,not_triggered
20260416_run111700,M5,BestRouter-only,0.1,GeoP0199_L012,geology,not_upgraded,当褶皱曲率变大时，,当阔被曲率当大时,当阔被曲率当大时,False,0.373581,not_upgraded,not_upgraded,not_triggered
20260416_run111700,M5,BestRouter-only,0.1,GeoP0199_L018,geology,not_upgraded,核部,亲部,亲部,False,0.453077,not_upgraded,not_upgraded,not_triggered
20260416_run111700,M5,BestRouter-only,0.1,GeoP0199_L019,geology,not_upgraded,{上升盘,上升盘,上升盘,False,0.092386,not_upgraded,not_upgraded,not_triggered
20260416_run111700,M5,BestRouter-only,0.1,GeoP0199_L020,geology,not_upgraded,夹角为侧伏角,夹南为侧伏角,夹南为侧伏角,False,0.23157,not_upgraded,not_upgraded,not_triggered
20260416_run111700,M5,BestRouter-only,0.1,GeoP0199_L021,geology,not_upgraded,e.g同沉积褶皱和底辟构造、穹隆.,e.g 同沉积褶皱和底辟构造、容隆.,e.g 同沉积褶皱和底辟构造、容隆.,False,0.170147,not_upgraded,not_upgraded,not_triggered
20260416_run111700,M5,BestRouter-only,0.1,GeoP0199_L024,geology,not_upgraded,{上盘,上盘,上盘,False,0.001056,not_upgraded,not_upgraded,not_triggered
20260416_run111700,M5,BestRouter-only,0.1,GeoP0199_L029,geology,not_upgraded,↳为顶薄褶皱（IA型）,为顶薄褶皱(工型),为顶薄褶皱(工型),False,0.072036,not_upgraded,not_upgraded,not_triggered
20260416_run111700,M5,BestRouter-only,0.1,GeoP0199_L031,geology,not_upgraded,两侧匀为拉伸状态,两测匀为拉伸状态,两测匀为拉伸状态,False,0.044299,not_upgraded,not_upgraded,not_triggered
